=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
 *** Used device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./cifar10/cifar-10-python.tar.gz
Extracting ./cifar10/cifar-10-python.tar.gz to ./cifar10
Files already downloaded and verified
 *** Random labels done
 *** Random pixels done
 *** Mask calcualted (keeping 10.0% weights)
Epoch 0: loss 0.0288460, train_acc 41.33%, test_acc 41.86%
Epoch 1: loss 0.0212407, train_acc 52.39%, test_acc 52.18%
Epoch 2: loss 0.0167088, train_acc 61.98%, test_acc 61.00%
Epoch 3: loss 0.0140030, train_acc 65.88%, test_acc 66.01%
Epoch 4: loss 0.0120057, train_acc 71.62%, test_acc 71.92%
Epoch 5: loss 0.0108097, train_acc 75.46%, test_acc 73.57%
Epoch 6: loss 0.0100066, train_acc 71.82%, test_acc 69.80%
Epoch 7: loss 0.0094082, train_acc 81.97%, test_acc 80.90%
Epoch 8: loss 0.0088883, train_acc 81.62%, test_acc 80.68%
Epoch 9: loss 0.0085821, train_acc 81.92%, test_acc 80.37%
Epoch 10: loss 0.0082158, train_acc 79.65%, test_acc 79.09%
Epoch 11: loss 0.0080404, train_acc 78.92%, test_acc 77.92%
Epoch 12: loss 0.0077339, train_acc 79.53%, test_acc 77.82%
Epoch 13: loss 0.0075938, train_acc 83.08%, test_acc 81.50%
Epoch 14: loss 0.0072451, train_acc 81.00%, test_acc 79.38%
Epoch 15: loss 0.0071851, train_acc 82.26%, test_acc 79.49%
Epoch 16: loss 0.0069617, train_acc 85.35%, test_acc 83.39%
Epoch 17: loss 0.0069377, train_acc 84.50%, test_acc 82.33%
Epoch 18: loss 0.0068602, train_acc 85.44%, test_acc 82.84%
Epoch 19: loss 0.0067301, train_acc 80.83%, test_acc 77.88%
Epoch 20: loss 0.0065963, train_acc 85.28%, test_acc 83.40%
Epoch 21: loss 0.0065026, train_acc 82.80%, test_acc 79.78%
Epoch 22: loss 0.0064311, train_acc 87.81%, test_acc 85.53%
Epoch 23: loss 0.0063419, train_acc 83.33%, test_acc 81.48%
Epoch 24: loss 0.0062542, train_acc 84.08%, test_acc 81.61%
Epoch 25: loss 0.0062706, train_acc 86.20%, test_acc 84.00%
Epoch 26: loss 0.0061651, train_acc 84.19%, test_acc 82.51%
Epoch 27: loss 0.0059568, train_acc 84.73%, test_acc 82.32%
Epoch 28: loss 0.0060163, train_acc 86.94%, test_acc 84.60%
Epoch 29: loss 0.0059603, train_acc 81.03%, test_acc 79.46%
Epoch 30: loss 0.0059245, train_acc 87.21%, test_acc 85.48%
Epoch 31: loss 0.0058772, train_acc 85.39%, test_acc 83.20%
Epoch 32: loss 0.0058321, train_acc 88.01%, test_acc 85.19%
Epoch 33: loss 0.0057597, train_acc 84.43%, test_acc 82.05%
