=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
 *** Used device: cuda
Files already downloaded and verified
Files already downloaded and verified
 *** Mask calcualted (keeping 10.0% weights)
 *** Layerwise rearrange done
Epoch 0: loss 0.0286312, train_acc 41.31%, test_acc 42.88%
Epoch 1: loss 0.0208820, train_acc 53.90%, test_acc 53.20%
Epoch 2: loss 0.0154112, train_acc 66.09%, test_acc 65.66%
Epoch 3: loss 0.0122756, train_acc 75.57%, test_acc 74.58%
Epoch 4: loss 0.0107482, train_acc 75.49%, test_acc 75.21%
Epoch 5: loss 0.0098110, train_acc 73.30%, test_acc 72.08%
Epoch 6: loss 0.0090871, train_acc 81.15%, test_acc 80.46%
Epoch 7: loss 0.0087112, train_acc 77.97%, test_acc 75.63%
Epoch 8: loss 0.0083860, train_acc 81.11%, test_acc 79.83%
Epoch 9: loss 0.0079488, train_acc 82.02%, test_acc 80.49%
Epoch 10: loss 0.0077119, train_acc 82.82%, test_acc 81.42%
Epoch 11: loss 0.0074881, train_acc 80.84%, test_acc 77.88%
Epoch 12: loss 0.0073679, train_acc 81.28%, test_acc 79.55%
Epoch 13: loss 0.0072376, train_acc 83.83%, test_acc 81.68%
Epoch 14: loss 0.0069960, train_acc 82.69%, test_acc 80.70%
Epoch 15: loss 0.0069158, train_acc 82.72%, test_acc 80.53%
Epoch 16: loss 0.0067196, train_acc 85.80%, test_acc 83.86%
Epoch 17: loss 0.0066567, train_acc 75.38%, test_acc 73.56%
Epoch 18: loss 0.0066675, train_acc 84.45%, test_acc 82.64%
Epoch 19: loss 0.0064002, train_acc 74.72%, test_acc 72.25%
Epoch 20: loss 0.0063505, train_acc 84.57%, test_acc 81.86%
Epoch 21: loss 0.0063540, train_acc 86.61%, test_acc 84.18%
Epoch 22: loss 0.0062481, train_acc 86.43%, test_acc 83.56%
Epoch 23: loss 0.0061873, train_acc 83.74%, test_acc 82.55%
Epoch 24: loss 0.0060560, train_acc 86.20%, test_acc 83.89%
Epoch 25: loss 0.0059507, train_acc 83.89%, test_acc 81.33%
Epoch 26: loss 0.0060206, train_acc 86.93%, test_acc 83.84%
Epoch 27: loss 0.0059103, train_acc 84.83%, test_acc 83.09%
Epoch 28: loss 0.0058855, train_acc 83.79%, test_acc 82.43%
Epoch 29: loss 0.0058560, train_acc 85.49%, test_acc 83.60%
Epoch 30: loss 0.0057561, train_acc 86.12%, test_acc 84.06%
Epoch 31: loss 0.0057689, train_acc 84.34%, test_acc 81.80%
Epoch 32: loss 0.0056495, train_acc 83.41%, test_acc 80.92%
Epoch 33: loss 0.0056498, train_acc 87.46%, test_acc 84.02%
Epoch 34: loss 0.0056294, train_acc 86.35%, test_acc 84.38%
Epoch 35: loss 0.0055292, train_acc 86.49%, test_acc 84.21%
Epoch 36: loss 0.0055112, train_acc 88.00%, test_acc 85.74%
Epoch 37: loss 0.0055831, train_acc 84.89%, test_acc 82.14%
Epoch 38: loss 0.0055182, train_acc 86.44%, test_acc 83.73%
Epoch 39: loss 0.0053928, train_acc 89.48%, test_acc 87.10%
Epoch 40: loss 0.0054532, train_acc 87.82%, test_acc 85.58%
Epoch 41: loss 0.0053941, train_acc 86.91%, test_acc 84.55%
Epoch 42: loss 0.0053584, train_acc 87.61%, test_acc 85.79%
Epoch 43: loss 0.0052835, train_acc 87.55%, test_acc 84.90%
Epoch 44: loss 0.0052467, train_acc 86.96%, test_acc 84.67%
Epoch 45: loss 0.0052775, train_acc 84.24%, test_acc 81.36%
Epoch 46: loss 0.0052573, train_acc 89.39%, test_acc 86.85%
Epoch 47: loss 0.0052186, train_acc 82.88%, test_acc 80.75%
