=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
 *** Used device: cuda
Files already downloaded and verified
Files already downloaded and verified
 *** Random labels done
 *** Random pixels done
 *** Mask calcualted (keeping 5.0% weights)
Epoch 0: loss 0.0248294, train_acc 49.55%, test_acc 49.94%
Epoch 1: loss 0.0165310, train_acc 65.48%, test_acc 64.61%
Epoch 2: loss 0.0127309, train_acc 75.58%, test_acc 75.10%
Epoch 3: loss 0.0109151, train_acc 76.06%, test_acc 75.74%
Epoch 4: loss 0.0098135, train_acc 78.17%, test_acc 77.22%
Epoch 5: loss 0.0090718, train_acc 81.49%, test_acc 80.57%
Epoch 6: loss 0.0083206, train_acc 83.19%, test_acc 81.87%
Epoch 7: loss 0.0079558, train_acc 83.81%, test_acc 82.04%
Epoch 8: loss 0.0075612, train_acc 82.89%, test_acc 81.37%
Epoch 9: loss 0.0071222, train_acc 83.03%, test_acc 81.25%
Epoch 10: loss 0.0069146, train_acc 85.50%, test_acc 83.48%
Epoch 11: loss 0.0066543, train_acc 85.64%, test_acc 83.52%
Epoch 12: loss 0.0064840, train_acc 84.49%, test_acc 81.99%
Epoch 13: loss 0.0062003, train_acc 85.63%, test_acc 83.51%
Epoch 14: loss 0.0061134, train_acc 83.83%, test_acc 80.97%
Epoch 15: loss 0.0059444, train_acc 84.94%, test_acc 82.46%
Epoch 16: loss 0.0057737, train_acc 87.13%, test_acc 83.90%
Epoch 17: loss 0.0056694, train_acc 85.73%, test_acc 83.58%
Epoch 18: loss 0.0056137, train_acc 89.63%, test_acc 86.35%
Epoch 19: loss 0.0054419, train_acc 86.05%, test_acc 82.18%
Epoch 20: loss 0.0052462, train_acc 90.09%, test_acc 87.36%
Epoch 21: loss 0.0052144, train_acc 86.67%, test_acc 83.80%
Epoch 22: loss 0.0051741, train_acc 88.38%, test_acc 85.15%
Epoch 23: loss 0.0050903, train_acc 88.39%, test_acc 85.29%
Epoch 24: loss 0.0049814, train_acc 88.23%, test_acc 84.76%
Epoch 25: loss 0.0050017, train_acc 88.17%, test_acc 84.98%
Epoch 26: loss 0.0049153, train_acc 89.99%, test_acc 86.63%
Epoch 27: loss 0.0048113, train_acc 89.97%, test_acc 86.23%
Epoch 28: loss 0.0048219, train_acc 88.90%, test_acc 85.77%
Epoch 29: loss 0.0047195, train_acc 88.75%, test_acc 85.41%
Epoch 30: loss 0.0046978, train_acc 90.57%, test_acc 86.83%
Epoch 31: loss 0.0046773, train_acc 89.46%, test_acc 86.06%
Epoch 32: loss 0.0046233, train_acc 91.74%, test_acc 88.16%
Epoch 33: loss 0.0045047, train_acc 91.45%, test_acc 87.95%
Epoch 34: loss 0.0044672, train_acc 90.90%, test_acc 87.25%
Epoch 35: loss 0.0044506, train_acc 89.68%, test_acc 85.80%
Epoch 36: loss 0.0045269, train_acc 90.85%, test_acc 87.04%
Epoch 37: loss 0.0044103, train_acc 90.51%, test_acc 86.45%
Epoch 38: loss 0.0044558, train_acc 90.24%, test_acc 85.84%
Epoch 39: loss 0.0043669, train_acc 90.45%, test_acc 85.99%
Epoch 40: loss 0.0044501, train_acc 91.48%, test_acc 87.31%
Epoch 41: loss 0.0043612, train_acc 91.50%, test_acc 87.49%
Epoch 42: loss 0.0043269, train_acc 90.77%, test_acc 86.77%
Epoch 43: loss 0.0042848, train_acc 90.95%, test_acc 86.92%
Epoch 44: loss 0.0042174, train_acc 91.29%, test_acc 86.76%
Epoch 45: loss 0.0042597, train_acc 90.20%, test_acc 85.70%
Epoch 46: loss 0.0042169, train_acc 91.94%, test_acc 88.15%
Epoch 47: loss 0.0041478, train_acc 90.90%, test_acc 86.93%
