=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
 *** Used device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-10-python.tar.gz to ./cifar10/cifar-10-python.tar.gz
Extracting ./cifar10/cifar-10-python.tar.gz to ./cifar10
Files already downloaded and verified
 *** Mask calcualted (keeping 10.0% weights)
 *** Layerwise rearrange done
Epoch 0: loss 0.0255089, train_acc 51.02%, test_acc 52.84%
Epoch 1: loss 0.0178853, train_acc 64.98%, test_acc 65.61%
Epoch 2: loss 0.0140064, train_acc 71.59%, test_acc 71.11%
Epoch 3: loss 0.0118325, train_acc 76.17%, test_acc 75.49%
Epoch 4: loss 0.0104154, train_acc 75.61%, test_acc 75.01%
Epoch 5: loss 0.0095760, train_acc 78.00%, test_acc 76.84%
Epoch 6: loss 0.0087495, train_acc 81.27%, test_acc 80.23%
Epoch 7: loss 0.0081462, train_acc 80.74%, test_acc 79.75%
Epoch 8: loss 0.0078644, train_acc 82.96%, test_acc 81.75%
Epoch 9: loss 0.0073601, train_acc 82.24%, test_acc 80.43%
Epoch 10: loss 0.0070219, train_acc 83.67%, test_acc 81.17%
Epoch 11: loss 0.0067127, train_acc 81.09%, test_acc 78.97%
Epoch 12: loss 0.0064907, train_acc 85.71%, test_acc 83.41%
Epoch 13: loss 0.0062915, train_acc 86.49%, test_acc 84.01%
Epoch 14: loss 0.0061492, train_acc 84.00%, test_acc 82.11%
Epoch 15: loss 0.0058891, train_acc 87.17%, test_acc 84.12%
Epoch 16: loss 0.0057389, train_acc 86.49%, test_acc 83.18%
Epoch 17: loss 0.0055857, train_acc 89.33%, test_acc 86.40%
Epoch 18: loss 0.0055100, train_acc 87.24%, test_acc 84.20%
Epoch 19: loss 0.0053241, train_acc 89.00%, test_acc 85.97%
Epoch 20: loss 0.0052673, train_acc 88.39%, test_acc 85.30%
Epoch 21: loss 0.0051452, train_acc 89.23%, test_acc 85.93%
Epoch 22: loss 0.0050467, train_acc 89.71%, test_acc 85.72%
Epoch 23: loss 0.0048667, train_acc 89.47%, test_acc 85.87%
Epoch 24: loss 0.0047812, train_acc 90.57%, test_acc 86.89%
Epoch 25: loss 0.0047656, train_acc 89.92%, test_acc 85.80%
Epoch 26: loss 0.0047015, train_acc 89.59%, test_acc 86.23%
Epoch 27: loss 0.0046994, train_acc 89.19%, test_acc 86.30%
Epoch 28: loss 0.0046450, train_acc 90.63%, test_acc 87.47%
Epoch 29: loss 0.0045687, train_acc 89.84%, test_acc 86.18%
Epoch 30: loss 0.0045240, train_acc 89.86%, test_acc 86.85%
Epoch 31: loss 0.0044815, train_acc 90.72%, test_acc 86.85%
Epoch 32: loss 0.0044444, train_acc 89.10%, test_acc 85.56%
Epoch 33: loss 0.0043068, train_acc 91.14%, test_acc 86.89%
