=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
 *** Used device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./cifar100/cifar-100-python.tar.gz
Extracting ./cifar100/cifar-100-python.tar.gz to ./cifar100
Files already downloaded and verified
 *** Mask calcualted (keeping 100.0% weights)
Epoch 0: loss 0.0642366, train_acc 10.65%, test_acc 11.33%
Epoch 1: loss 0.0549253, train_acc 19.79%, test_acc 18.69%
Epoch 2: loss 0.0453798, train_acc 30.56%, test_acc 28.96%
Epoch 3: loss 0.0377051, train_acc 39.06%, test_acc 37.05%
Epoch 4: loss 0.0325001, train_acc 45.84%, test_acc 43.68%
Epoch 5: loss 0.0291971, train_acc 48.10%, test_acc 44.52%
Epoch 6: loss 0.0267607, train_acc 53.24%, test_acc 49.57%
Epoch 7: loss 0.0248445, train_acc 53.68%, test_acc 50.28%
Epoch 8: loss 0.0233113, train_acc 57.72%, test_acc 53.35%
Epoch 9: loss 0.0222126, train_acc 58.85%, test_acc 53.25%
Epoch 10: loss 0.0212057, train_acc 62.03%, test_acc 55.78%
Epoch 11: loss 0.0202908, train_acc 62.68%, test_acc 56.02%
Epoch 12: loss 0.0195586, train_acc 64.78%, test_acc 57.69%
Epoch 13: loss 0.0189410, train_acc 66.39%, test_acc 58.91%
Epoch 14: loss 0.0182885, train_acc 67.52%, test_acc 59.34%
Epoch 15: loss 0.0177885, train_acc 65.56%, test_acc 57.89%
Epoch 16: loss 0.0172696, train_acc 68.16%, test_acc 58.60%
Epoch 17: loss 0.0168334, train_acc 68.58%, test_acc 59.25%
Epoch 18: loss 0.0164957, train_acc 69.53%, test_acc 60.44%
Epoch 19: loss 0.0162319, train_acc 70.11%, test_acc 60.30%
Epoch 20: loss 0.0157696, train_acc 68.91%, test_acc 59.65%
Epoch 21: loss 0.0155358, train_acc 68.44%, test_acc 59.06%
Epoch 22: loss 0.0152170, train_acc 67.37%, test_acc 57.47%
Epoch 23: loss 0.0149269, train_acc 71.58%, test_acc 61.60%
Epoch 24: loss 0.0147574, train_acc 71.09%, test_acc 60.31%
Epoch 25: loss 0.0144629, train_acc 69.53%, test_acc 59.88%
Epoch 26: loss 0.0144194, train_acc 71.93%, test_acc 61.29%
Epoch 27: loss 0.0141434, train_acc 71.08%, test_acc 60.79%
Epoch 28: loss 0.0140377, train_acc 72.55%, test_acc 61.73%
Epoch 29: loss 0.0138411, train_acc 72.12%, test_acc 60.22%
Epoch 30: loss 0.0137509, train_acc 73.94%, test_acc 62.10%
Epoch 31: loss 0.0134789, train_acc 72.98%, test_acc 61.94%
Epoch 32: loss 0.0134296, train_acc 75.01%, test_acc 62.63%
Epoch 33: loss 0.0131768, train_acc 76.65%, test_acc 64.05%
Epoch 34: loss 0.0132001, train_acc 74.66%, test_acc 62.48%
Epoch 35: loss 0.0130248, train_acc 75.60%, test_acc 63.51%
Epoch 36: loss 0.0129888, train_acc 75.47%, test_acc 62.56%
Epoch 37: loss 0.0127208, train_acc 72.50%, test_acc 60.35%
Epoch 38: loss 0.0126502, train_acc 77.02%, test_acc 62.78%
Epoch 39: loss 0.0127230, train_acc 76.26%, test_acc 63.78%
Epoch 40: loss 0.0126204, train_acc 73.92%, test_acc 60.90%
Epoch 41: loss 0.0124269, train_acc 74.49%, test_acc 62.06%
Epoch 42: loss 0.0123102, train_acc 76.25%, test_acc 63.08%
Epoch 43: loss 0.0122914, train_acc 75.65%, test_acc 62.44%
Epoch 44: loss 0.0122668, train_acc 76.13%, test_acc 62.07%
Epoch 45: loss 0.0122391, train_acc 74.05%, test_acc 61.28%
Epoch 46: loss 0.0121185, train_acc 76.31%, test_acc 62.53%
Epoch 47: loss 0.0119981, train_acc 77.42%, test_acc 63.18%
Epoch 48: loss 0.0120122, train_acc 75.18%, test_acc 61.85%
Epoch 49: loss 0.0118583, train_acc 76.77%, test_acc 62.73%
Epoch 50: loss 0.0118871, train_acc 73.34%, test_acc 60.65%
Epoch 51: loss 0.0117799, train_acc 77.58%, test_acc 63.83%
Epoch 52: loss 0.0117139, train_acc 76.15%, test_acc 62.28%
Epoch 53: loss 0.0117183, train_acc 75.66%, test_acc 62.61%
Epoch 54: loss 0.0117756, train_acc 77.69%, test_acc 64.18%
Epoch 55: loss 0.0117075, train_acc 77.24%, test_acc 63.85%
Epoch 56: loss 0.0115837, train_acc 77.42%, test_acc 63.54%
Epoch 57: loss 0.0115128, train_acc 78.38%, test_acc 64.12%
Epoch 58: loss 0.0113215, train_acc 74.59%, test_acc 60.96%
Epoch 59: loss 0.0116893, train_acc 77.50%, test_acc 63.44%
Epoch 60: loss 0.0114365, train_acc 78.32%, test_acc 64.53%
Epoch 61: loss 0.0113150, train_acc 77.80%, test_acc 64.14%
Epoch 62: loss 0.0114210, train_acc 74.68%, test_acc 61.21%
Epoch 63: loss 0.0111878, train_acc 76.04%, test_acc 62.91%
Epoch 64: loss 0.0112940, train_acc 76.73%, test_acc 62.36%
Epoch 65: loss 0.0112372, train_acc 77.94%, test_acc 63.39%
Epoch 66: loss 0.0111415, train_acc 76.00%, test_acc 62.60%
Epoch 67: loss 0.0110478, train_acc 78.68%, test_acc 64.79%
Epoch 68: loss 0.0111520, train_acc 79.82%, test_acc 65.13%
Epoch 69: loss 0.0110727, train_acc 76.78%, test_acc 61.88%
Epoch 70: loss 0.0110479, train_acc 74.50%, test_acc 60.63%
Epoch 71: loss 0.0110308, train_acc 78.44%, test_acc 63.77%
Epoch 72: loss 0.0111096, train_acc 78.99%, test_acc 64.07%
Epoch 73: loss 0.0109788, train_acc 76.84%, test_acc 63.38%
Epoch 74: loss 0.0110730, train_acc 77.38%, test_acc 63.08%
Epoch 75: loss 0.0109402, train_acc 77.44%, test_acc 62.95%
Epoch 76: loss 0.0109557, train_acc 77.15%, test_acc 62.82%
Epoch 77: loss 0.0108573, train_acc 78.56%, test_acc 64.20%
Epoch 78: loss 0.0108267, train_acc 77.55%, test_acc 63.13%
Epoch 79: loss 0.0109583, train_acc 77.94%, test_acc 63.39%
Epoch 80: loss 0.0056547, train_acc 93.20%, test_acc 73.43%
Epoch 81: loss 0.0040602, train_acc 94.64%, test_acc 73.39%
Epoch 82: loss 0.0034788, train_acc 95.46%, test_acc 74.14%
Epoch 83: loss 0.0030864, train_acc 96.12%, test_acc 74.30%
Epoch 84: loss 0.0027595, train_acc 96.59%, test_acc 74.21%
Epoch 85: loss 0.0024862, train_acc 97.05%, test_acc 74.63%
Epoch 86: loss 0.0023021, train_acc 97.43%, test_acc 74.35%
Epoch 87: loss 0.0021150, train_acc 97.62%, test_acc 74.36%
Epoch 88: loss 0.0019619, train_acc 97.94%, test_acc 74.22%
Epoch 89: loss 0.0018180, train_acc 98.02%, test_acc 74.33%
Epoch 90: loss 0.0016737, train_acc 98.22%, test_acc 74.28%
Epoch 91: loss 0.0016259, train_acc 98.51%, test_acc 74.29%
Epoch 92: loss 0.0015228, train_acc 98.59%, test_acc 74.59%
Epoch 93: loss 0.0014232, train_acc 98.77%, test_acc 74.37%
Epoch 94: loss 0.0013222, train_acc 98.87%, test_acc 74.16%
Epoch 95: loss 0.0012916, train_acc 98.92%, test_acc 74.28%
Epoch 96: loss 0.0012158, train_acc 98.99%, test_acc 74.39%
Epoch 97: loss 0.0011528, train_acc 99.08%, test_acc 74.22%
Epoch 98: loss 0.0011278, train_acc 99.13%, test_acc 74.32%
Epoch 99: loss 0.0010402, train_acc 99.15%, test_acc 74.29%
Epoch 100: loss 0.0009928, train_acc 99.27%, test_acc 74.46%
