 => Using seed 2020
 => Using device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./cifar100/cifar-100-python.tar.gz
Extracting ./cifar100/cifar-100-python.tar.gz to ./cifar100
Files already downloaded and verified
 => Loading model '/content/drive/MyDrive/pruningData/partially_trained/pretrained_models/resnet32_160_40_cifar100_basic_pretraining_model.pt'
 => Pruning (keeping 10.0% weights)
===> smart ratios before rearanging: 0.854, 0.804, 0.755, 0.708, 0.662, 0.618, 0.575, 0.534, 0.495, 0.457, 0.420, 0.385, 0.352, 0.320, 0.289, 0.260, 0.233, 0.207, 0.183, 0.160, 0.139, 0.119, 0.100, 0.084, 0.069, 0.055, 0.043, 0.032, 0.023, 0.015, 0.009, 0.005, 0.002, 0.300
===> smart ratios: 0.854, 0.804, 0.755, 0.708, 0.662, 0.618, 0.575, 0.534, 0.495, 0.457, 0.420, 0.385, 0.352, 0.320, 0.289, 0.260, 0.233, 0.207, 0.183, 0.160, 0.139, 0.119, 0.100, 0.084, 0.069, 0.055, 0.043, 0.032, 0.023, 0.015, 0.009, 0.005, 0.002, 0.300
===> total keep ratio: 0.09999999999999996
=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
Fine tuning epoch 0 (scheduling like it's 40): loss 0.0286100, train_acc 54.04%, test_acc 50.49%
Fine tuning epoch 1 (scheduling like it's 41): loss 0.0229978, train_acc 56.71%, test_acc 53.06%
Fine tuning epoch 2 (scheduling like it's 42): loss 0.0214035, train_acc 59.96%, test_acc 54.84%
Fine tuning epoch 3 (scheduling like it's 43): loss 0.0206221, train_acc 63.04%, test_acc 58.34%
Fine tuning epoch 4 (scheduling like it's 44): loss 0.0198280, train_acc 61.81%, test_acc 56.50%
Fine tuning epoch 5 (scheduling like it's 45): loss 0.0194946, train_acc 65.94%, test_acc 59.83%
Fine tuning epoch 6 (scheduling like it's 46): loss 0.0190270, train_acc 62.95%, test_acc 56.24%
Fine tuning epoch 7 (scheduling like it's 47): loss 0.0188825, train_acc 61.79%, test_acc 56.05%
Fine tuning epoch 8 (scheduling like it's 48): loss 0.0186144, train_acc 64.06%, test_acc 57.89%
Fine tuning epoch 9 (scheduling like it's 49): loss 0.0183553, train_acc 65.67%, test_acc 59.12%
Fine tuning epoch 10 (scheduling like it's 50): loss 0.0182787, train_acc 62.83%, test_acc 56.97%
Fine tuning epoch 11 (scheduling like it's 51): loss 0.0182174, train_acc 62.96%, test_acc 56.81%
