 => Using seed 2020
 => Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
 => Loading model '/content/drive/MyDrive/pruningData/partially_trained/pretrained_models/resnet32_160_40_cifar10_basic_pretraining_model.pt'
 => Pruning (keeping 2.0% weights)
=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
Fine tuning epoch 0 (scheduling like it's 40): loss 0.0118167, train_acc 76.72%, test_acc 74.82%
Fine tuning epoch 1 (scheduling like it's 41): loss 0.0088034, train_acc 79.13%, test_acc 76.87%
Fine tuning epoch 2 (scheduling like it's 42): loss 0.0078370, train_acc 83.08%, test_acc 82.66%
Fine tuning epoch 3 (scheduling like it's 43): loss 0.0075198, train_acc 84.85%, test_acc 83.35%
Fine tuning epoch 4 (scheduling like it's 44): loss 0.0072237, train_acc 84.23%, test_acc 82.57%
Fine tuning epoch 5 (scheduling like it's 45): loss 0.0069892, train_acc 80.94%, test_acc 79.40%
Fine tuning epoch 6 (scheduling like it's 46): loss 0.0067855, train_acc 84.50%, test_acc 83.27%
Fine tuning epoch 7 (scheduling like it's 47): loss 0.0066805, train_acc 85.97%, test_acc 84.05%
Fine tuning epoch 8 (scheduling like it's 48): loss 0.0065894, train_acc 85.36%, test_acc 83.13%
Fine tuning epoch 9 (scheduling like it's 49): loss 0.0064321, train_acc 84.34%, test_acc 82.56%
Fine tuning epoch 10 (scheduling like it's 50): loss 0.0064391, train_acc 82.85%, test_acc 80.87%
Fine tuning epoch 11 (scheduling like it's 51): loss 0.0064141, train_acc 83.76%, test_acc 81.44%
Fine tuning epoch 12 (scheduling like it's 52): loss 0.0063132, train_acc 85.84%, test_acc 84.80%
Fine tuning epoch 13 (scheduling like it's 53): loss 0.0062526, train_acc 86.89%, test_acc 85.33%
Fine tuning epoch 14 (scheduling like it's 54): loss 0.0062020, train_acc 85.57%, test_acc 83.64%
Fine tuning epoch 15 (scheduling like it's 55): loss 0.0062572, train_acc 84.74%, test_acc 83.48%
Fine tuning epoch 16 (scheduling like it's 56): loss 0.0061540, train_acc 86.25%, test_acc 84.20%
Fine tuning epoch 17 (scheduling like it's 57): loss 0.0061086, train_acc 86.74%, test_acc 84.41%
Fine tuning epoch 18 (scheduling like it's 58): loss 0.0061450, train_acc 86.78%, test_acc 84.84%
Fine tuning epoch 19 (scheduling like it's 59): loss 0.0061012, train_acc 85.12%, test_acc 83.96%
Fine tuning epoch 20 (scheduling like it's 60): loss 0.0061488, train_acc 86.14%, test_acc 83.72%
Fine tuning epoch 21 (scheduling like it's 61): loss 0.0060669, train_acc 86.87%, test_acc 85.57%
Fine tuning epoch 22 (scheduling like it's 62): loss 0.0060700, train_acc 87.80%, test_acc 85.33%
Fine tuning epoch 23 (scheduling like it's 63): loss 0.0061029, train_acc 88.41%, test_acc 86.31%
Fine tuning epoch 24 (scheduling like it's 64): loss 0.0060824, train_acc 84.22%, test_acc 81.76%
Fine tuning epoch 25 (scheduling like it's 65): loss 0.0060979, train_acc 84.55%, test_acc 81.64%
Fine tuning epoch 26 (scheduling like it's 66): loss 0.0060781, train_acc 83.39%, test_acc 81.47%
Fine tuning epoch 27 (scheduling like it's 67): loss 0.0060413, train_acc 83.48%, test_acc 81.93%
Fine tuning epoch 28 (scheduling like it's 68): loss 0.0060325, train_acc 86.19%, test_acc 83.76%
Fine tuning epoch 29 (scheduling like it's 69): loss 0.0060202, train_acc 87.94%, test_acc 85.95%
Fine tuning epoch 30 (scheduling like it's 70): loss 0.0060476, train_acc 86.17%, test_acc 84.18%
Fine tuning epoch 31 (scheduling like it's 71): loss 0.0060061, train_acc 83.18%, test_acc 80.54%
Fine tuning epoch 32 (scheduling like it's 72): loss 0.0060156, train_acc 85.85%, test_acc 83.28%
Fine tuning epoch 33 (scheduling like it's 73): loss 0.0059766, train_acc 82.36%, test_acc 78.96%
Fine tuning epoch 34 (scheduling like it's 74): loss 0.0059384, train_acc 86.29%, test_acc 83.79%
Fine tuning epoch 35 (scheduling like it's 75): loss 0.0060211, train_acc 85.40%, test_acc 83.20%
Fine tuning epoch 36 (scheduling like it's 76): loss 0.0060240, train_acc 87.47%, test_acc 85.39%
Fine tuning epoch 37 (scheduling like it's 77): loss 0.0059855, train_acc 85.94%, test_acc 84.38%
Fine tuning epoch 38 (scheduling like it's 78): loss 0.0060302, train_acc 83.94%, test_acc 81.87%
Fine tuning epoch 39 (scheduling like it's 79): loss 0.0059854, train_acc 86.70%, test_acc 84.68%
Fine tuning epoch 40 (scheduling like it's 80): loss 0.0045063, train_acc 91.94%, test_acc 89.37%
Fine tuning epoch 41 (scheduling like it's 81): loss 0.0040026, train_acc 92.46%, test_acc 89.58%
Fine tuning epoch 42 (scheduling like it's 82): loss 0.0038738, train_acc 92.71%, test_acc 89.80%
Fine tuning epoch 43 (scheduling like it's 83): loss 0.0037293, train_acc 92.95%, test_acc 90.23%
Fine tuning epoch 44 (scheduling like it's 84): loss 0.0037009, train_acc 93.15%, test_acc 90.10%
Fine tuning epoch 45 (scheduling like it's 85): loss 0.0035295, train_acc 93.16%, test_acc 90.00%
Fine tuning epoch 46 (scheduling like it's 86): loss 0.0035616, train_acc 93.25%, test_acc 89.95%
Fine tuning epoch 47 (scheduling like it's 87): loss 0.0034965, train_acc 93.27%, test_acc 90.04%
Fine tuning epoch 48 (scheduling like it's 88): loss 0.0034340, train_acc 93.53%, test_acc 89.94%
Fine tuning epoch 49 (scheduling like it's 89): loss 0.0034639, train_acc 93.58%, test_acc 90.03%
Fine tuning epoch 50 (scheduling like it's 90): loss 0.0033987, train_acc 93.73%, test_acc 90.27%
Fine tuning epoch 51 (scheduling like it's 91): loss 0.0033229, train_acc 93.66%, test_acc 90.07%
Fine tuning epoch 52 (scheduling like it's 92): loss 0.0033144, train_acc 93.80%, test_acc 90.03%
Fine tuning epoch 53 (scheduling like it's 93): loss 0.0033014, train_acc 93.76%, test_acc 90.06%
Fine tuning epoch 54 (scheduling like it's 94): loss 0.0032795, train_acc 93.86%, test_acc 89.73%
Fine tuning epoch 55 (scheduling like it's 95): loss 0.0032676, train_acc 93.95%, test_acc 89.96%
Fine tuning epoch 56 (scheduling like it's 96): loss 0.0032292, train_acc 94.01%, test_acc 90.21%
Fine tuning epoch 57 (scheduling like it's 97): loss 0.0031919, train_acc 94.02%, test_acc 90.06%
Fine tuning epoch 58 (scheduling like it's 98): loss 0.0032441, train_acc 93.94%, test_acc 90.13%
Fine tuning epoch 59 (scheduling like it's 99): loss 0.0031989, train_acc 94.06%, test_acc 90.29%
Fine tuning epoch 60 (scheduling like it's 100): loss 0.0031974, train_acc 94.21%, test_acc 90.48%
Fine tuning epoch 61 (scheduling like it's 101): loss 0.0031846, train_acc 94.17%, test_acc 90.13%
Fine tuning epoch 62 (scheduling like it's 102): loss 0.0031200, train_acc 94.23%, test_acc 90.18%
Fine tuning epoch 63 (scheduling like it's 103): loss 0.0031378, train_acc 94.35%, test_acc 90.17%
Fine tuning epoch 64 (scheduling like it's 104): loss 0.0031627, train_acc 94.29%, test_acc 90.27%
Fine tuning epoch 65 (scheduling like it's 105): loss 0.0031325, train_acc 94.10%, test_acc 90.03%
Fine tuning epoch 66 (scheduling like it's 106): loss 0.0030862, train_acc 94.21%, test_acc 90.18%
Fine tuning epoch 67 (scheduling like it's 107): loss 0.0030793, train_acc 94.32%, test_acc 90.01%
Fine tuning epoch 68 (scheduling like it's 108): loss 0.0030931, train_acc 94.17%, test_acc 90.01%
Fine tuning epoch 69 (scheduling like it's 109): loss 0.0031022, train_acc 94.09%, test_acc 89.90%
Fine tuning epoch 70 (scheduling like it's 110): loss 0.0030975, train_acc 94.13%, test_acc 90.11%
Fine tuning epoch 71 (scheduling like it's 111): loss 0.0030617, train_acc 94.19%, test_acc 90.06%
Fine tuning epoch 72 (scheduling like it's 112): loss 0.0030950, train_acc 94.34%, test_acc 89.89%
Fine tuning epoch 73 (scheduling like it's 113): loss 0.0030871, train_acc 94.38%, test_acc 90.24%
Fine tuning epoch 74 (scheduling like it's 114): loss 0.0030866, train_acc 94.18%, test_acc 90.40%
Fine tuning epoch 75 (scheduling like it's 115): loss 0.0030464, train_acc 94.44%, test_acc 89.94%
Fine tuning epoch 76 (scheduling like it's 116): loss 0.0031284, train_acc 94.36%, test_acc 90.26%
Fine tuning epoch 77 (scheduling like it's 117): loss 0.0030585, train_acc 94.50%, test_acc 90.17%
Fine tuning epoch 78 (scheduling like it's 118): loss 0.0030756, train_acc 94.32%, test_acc 90.20%
Fine tuning epoch 79 (scheduling like it's 119): loss 0.0029878, train_acc 94.35%, test_acc 90.25%
Fine tuning epoch 80 (scheduling like it's 120): loss 0.0027773, train_acc 95.14%, test_acc 90.57%
Fine tuning epoch 81 (scheduling like it's 121): loss 0.0026356, train_acc 95.20%, test_acc 90.64%
Fine tuning epoch 82 (scheduling like it's 122): loss 0.0026274, train_acc 95.35%, test_acc 90.66%
Fine tuning epoch 83 (scheduling like it's 123): loss 0.0026013, train_acc 95.42%, test_acc 90.75%
Fine tuning epoch 84 (scheduling like it's 124): loss 0.0025961, train_acc 95.38%, test_acc 90.78%
Fine tuning epoch 85 (scheduling like it's 125): loss 0.0025557, train_acc 95.45%, test_acc 90.64%
