 => Using seed 2020
 => Using device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./cifar100/cifar-100-python.tar.gz
Extracting ./cifar100/cifar-100-python.tar.gz to ./cifar100
Files already downloaded and verified
 => Loading model '/content/drive/MyDrive/pruningData/partially_trained/pretrained_models/resnet32_160_40_cifar100_basic_pretraining_model.pt'
 => Pruning (keeping 10.0% weights)
=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
Fine tuning epoch 0 (scheduling like it's 40): loss 0.0228866, train_acc 63.37%, test_acc 56.31%
Fine tuning epoch 1 (scheduling like it's 41): loss 0.0175224, train_acc 63.67%, test_acc 55.81%
Fine tuning epoch 2 (scheduling like it's 42): loss 0.0161798, train_acc 69.60%, test_acc 60.45%
Fine tuning epoch 3 (scheduling like it's 43): loss 0.0155088, train_acc 70.48%, test_acc 61.87%
Fine tuning epoch 4 (scheduling like it's 44): loss 0.0148515, train_acc 71.72%, test_acc 62.21%
Fine tuning epoch 5 (scheduling like it's 45): loss 0.0145057, train_acc 71.93%, test_acc 61.98%
Fine tuning epoch 6 (scheduling like it's 46): loss 0.0142538, train_acc 73.73%, test_acc 63.30%
Fine tuning epoch 7 (scheduling like it's 47): loss 0.0140534, train_acc 72.12%, test_acc 62.55%
Fine tuning epoch 8 (scheduling like it's 48): loss 0.0138480, train_acc 72.29%, test_acc 61.76%
Fine tuning epoch 9 (scheduling like it's 49): loss 0.0137269, train_acc 74.60%, test_acc 64.30%
Fine tuning epoch 10 (scheduling like it's 50): loss 0.0136294, train_acc 70.89%, test_acc 60.76%
Fine tuning epoch 11 (scheduling like it's 51): loss 0.0136658, train_acc 73.53%, test_acc 62.29%
Fine tuning epoch 12 (scheduling like it's 52): loss 0.0133262, train_acc 74.73%, test_acc 63.31%
Fine tuning epoch 13 (scheduling like it's 53): loss 0.0133301, train_acc 75.21%, test_acc 64.26%
Fine tuning epoch 14 (scheduling like it's 54): loss 0.0132411, train_acc 72.15%, test_acc 61.34%
Fine tuning epoch 15 (scheduling like it's 55): loss 0.0133550, train_acc 71.77%, test_acc 60.22%
Fine tuning epoch 16 (scheduling like it's 56): loss 0.0133373, train_acc 72.62%, test_acc 61.51%
Fine tuning epoch 17 (scheduling like it's 57): loss 0.0130936, train_acc 76.13%, test_acc 64.53%
Fine tuning epoch 18 (scheduling like it's 58): loss 0.0131687, train_acc 74.65%, test_acc 63.40%
Fine tuning epoch 19 (scheduling like it's 59): loss 0.0130515, train_acc 72.45%, test_acc 61.53%
Fine tuning epoch 20 (scheduling like it's 60): loss 0.0131644, train_acc 74.13%, test_acc 63.01%
Fine tuning epoch 21 (scheduling like it's 61): loss 0.0131710, train_acc 72.11%, test_acc 61.82%
Fine tuning epoch 22 (scheduling like it's 62): loss 0.0132090, train_acc 74.62%, test_acc 62.46%
Fine tuning epoch 23 (scheduling like it's 63): loss 0.0131898, train_acc 73.06%, test_acc 61.90%
Fine tuning epoch 24 (scheduling like it's 64): loss 0.0130881, train_acc 74.42%, test_acc 62.87%
Fine tuning epoch 25 (scheduling like it's 65): loss 0.0130470, train_acc 75.07%, test_acc 63.38%
Fine tuning epoch 26 (scheduling like it's 66): loss 0.0129073, train_acc 74.04%, test_acc 62.23%
Fine tuning epoch 27 (scheduling like it's 67): loss 0.0130997, train_acc 75.88%, test_acc 64.32%
Fine tuning epoch 28 (scheduling like it's 68): loss 0.0129728, train_acc 74.57%, test_acc 62.45%
Fine tuning epoch 29 (scheduling like it's 69): loss 0.0130883, train_acc 74.09%, test_acc 63.43%
Fine tuning epoch 30 (scheduling like it's 70): loss 0.0130295, train_acc 74.90%, test_acc 63.34%
Fine tuning epoch 31 (scheduling like it's 71): loss 0.0130293, train_acc 73.75%, test_acc 62.42%
Fine tuning epoch 32 (scheduling like it's 72): loss 0.0130313, train_acc 71.83%, test_acc 61.10%
Fine tuning epoch 33 (scheduling like it's 73): loss 0.0129613, train_acc 75.94%, test_acc 64.51%
Fine tuning epoch 34 (scheduling like it's 74): loss 0.0130161, train_acc 74.93%, test_acc 63.20%
Fine tuning epoch 35 (scheduling like it's 75): loss 0.0129831, train_acc 75.78%, test_acc 64.19%
Fine tuning epoch 36 (scheduling like it's 76): loss 0.0129110, train_acc 74.72%, test_acc 62.68%
Fine tuning epoch 37 (scheduling like it's 77): loss 0.0130580, train_acc 74.84%, test_acc 63.84%
