 => Using seed 2020
 => Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
 => Loading model '/content/drive/MyDrive/pruningData/partially_trained/pretrained_models/vgg19_160_40_cifar10_basic_pretraining_model.pt'
 => Pruning (keeping 2.0% weights)
=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
Fine tuning epoch 0 (scheduling like it's 40): loss 0.0360890, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 1 (scheduling like it's 41): loss 0.0360683, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 2 (scheduling like it's 42): loss 0.0360656, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 3 (scheduling like it's 43): loss 0.0360656, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 4 (scheduling like it's 44): loss 0.0360691, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 5 (scheduling like it's 45): loss 0.0360597, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 6 (scheduling like it's 46): loss 0.0360662, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 7 (scheduling like it's 47): loss 0.0360706, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 8 (scheduling like it's 48): loss 0.0360708, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 9 (scheduling like it's 49): loss 0.0360732, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 10 (scheduling like it's 50): loss 0.0360687, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 11 (scheduling like it's 51): loss 0.0360660, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 12 (scheduling like it's 52): loss 0.0360711, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 13 (scheduling like it's 53): loss 0.0360721, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 14 (scheduling like it's 54): loss 0.0360611, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 15 (scheduling like it's 55): loss 0.0360754, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 16 (scheduling like it's 56): loss 0.0360644, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 17 (scheduling like it's 57): loss 0.0360658, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 18 (scheduling like it's 58): loss 0.0360667, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 19 (scheduling like it's 59): loss 0.0360616, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 20 (scheduling like it's 60): loss 0.0360662, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 21 (scheduling like it's 61): loss 0.0360720, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 22 (scheduling like it's 62): loss 0.0360687, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 23 (scheduling like it's 63): loss 0.0360638, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 24 (scheduling like it's 64): loss 0.0360666, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 25 (scheduling like it's 65): loss 0.0360757, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 26 (scheduling like it's 66): loss 0.0360792, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 27 (scheduling like it's 67): loss 0.0360622, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 28 (scheduling like it's 68): loss 0.0360589, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 29 (scheduling like it's 69): loss 0.0360687, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 30 (scheduling like it's 70): loss 0.0360753, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 31 (scheduling like it's 71): loss 0.0360677, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 32 (scheduling like it's 72): loss 0.0360722, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 33 (scheduling like it's 73): loss 0.0360703, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 34 (scheduling like it's 74): loss 0.0360747, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 35 (scheduling like it's 75): loss 0.0360767, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 36 (scheduling like it's 76): loss 0.0360728, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 37 (scheduling like it's 77): loss 0.0360695, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 38 (scheduling like it's 78): loss 0.0360663, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 39 (scheduling like it's 79): loss 0.0360723, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 40 (scheduling like it's 80): loss 0.0360218, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 41 (scheduling like it's 81): loss 0.0360198, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 42 (scheduling like it's 82): loss 0.0360193, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 43 (scheduling like it's 83): loss 0.0360192, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 44 (scheduling like it's 84): loss 0.0360184, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 45 (scheduling like it's 85): loss 0.0360194, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 46 (scheduling like it's 86): loss 0.0360180, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 47 (scheduling like it's 87): loss 0.0360194, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 48 (scheduling like it's 88): loss 0.0360186, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 49 (scheduling like it's 89): loss 0.0360188, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 50 (scheduling like it's 90): loss 0.0360195, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 51 (scheduling like it's 91): loss 0.0360174, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 52 (scheduling like it's 92): loss 0.0360196, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 53 (scheduling like it's 93): loss 0.0360201, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 54 (scheduling like it's 94): loss 0.0360191, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 55 (scheduling like it's 95): loss 0.0360184, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 56 (scheduling like it's 96): loss 0.0360199, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 57 (scheduling like it's 97): loss 0.0360196, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 58 (scheduling like it's 98): loss 0.0360201, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 59 (scheduling like it's 99): loss 0.0360202, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 60 (scheduling like it's 100): loss 0.0360197, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 61 (scheduling like it's 101): loss 0.0360189, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 62 (scheduling like it's 102): loss 0.0360191, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 63 (scheduling like it's 103): loss 0.0360185, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 64 (scheduling like it's 104): loss 0.0360193, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 65 (scheduling like it's 105): loss 0.0360199, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 66 (scheduling like it's 106): loss 0.0360181, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 67 (scheduling like it's 107): loss 0.0360203, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 68 (scheduling like it's 108): loss 0.0360196, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 69 (scheduling like it's 109): loss 0.0360198, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 70 (scheduling like it's 110): loss 0.0360202, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 71 (scheduling like it's 111): loss 0.0360192, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 72 (scheduling like it's 112): loss 0.0360178, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 73 (scheduling like it's 113): loss 0.0360174, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 74 (scheduling like it's 114): loss 0.0360197, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 75 (scheduling like it's 115): loss 0.0360179, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 76 (scheduling like it's 116): loss 0.0360193, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 77 (scheduling like it's 117): loss 0.0360196, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 78 (scheduling like it's 118): loss 0.0360190, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 79 (scheduling like it's 119): loss 0.0360193, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 80 (scheduling like it's 120): loss 0.0360150, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 81 (scheduling like it's 121): loss 0.0360136, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 82 (scheduling like it's 122): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 83 (scheduling like it's 123): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 84 (scheduling like it's 124): loss 0.0360133, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 85 (scheduling like it's 125): loss 0.0360135, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 86 (scheduling like it's 126): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 87 (scheduling like it's 127): loss 0.0360135, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 88 (scheduling like it's 128): loss 0.0360135, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 89 (scheduling like it's 129): loss 0.0360135, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 90 (scheduling like it's 130): loss 0.0360136, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 91 (scheduling like it's 131): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 92 (scheduling like it's 132): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 93 (scheduling like it's 133): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
Fine tuning epoch 94 (scheduling like it's 134): loss 0.0360134, train_acc 10.00%, test_acc 10.00%
