 => Using seed 2020
 => Using device: cuda
Downloading https://www.cs.toronto.edu/~kriz/cifar-100-python.tar.gz to ./cifar100/cifar-100-python.tar.gz
Extracting ./cifar100/cifar-100-python.tar.gz to ./cifar100
Files already downloaded and verified
 => Loading model '/content/drive/MyDrive/pruningData/partially_trained/pretrained_models/vgg19_160_40_cifar100_basic_pretraining_model.pt'
 => Pruning (keeping 10.0% weights)
=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
Fine tuning epoch 0 (scheduling like it's 40): loss 0.0224591, train_acc 66.19%, test_acc 56.69%
Fine tuning epoch 1 (scheduling like it's 41): loss 0.0167062, train_acc 71.29%, test_acc 59.32%
Fine tuning epoch 2 (scheduling like it's 42): loss 0.0150268, train_acc 73.22%, test_acc 60.53%
Fine tuning epoch 3 (scheduling like it's 43): loss 0.0143585, train_acc 73.05%, test_acc 60.26%
Fine tuning epoch 4 (scheduling like it's 44): loss 0.0134289, train_acc 75.26%, test_acc 60.88%
Fine tuning epoch 5 (scheduling like it's 45): loss 0.0128505, train_acc 77.87%, test_acc 63.43%
Fine tuning epoch 6 (scheduling like it's 46): loss 0.0124596, train_acc 75.28%, test_acc 60.68%
Fine tuning epoch 7 (scheduling like it's 47): loss 0.0123015, train_acc 78.98%, test_acc 62.92%
Fine tuning epoch 8 (scheduling like it's 48): loss 0.0119097, train_acc 76.84%, test_acc 61.53%
Fine tuning epoch 9 (scheduling like it's 49): loss 0.0118383, train_acc 78.76%, test_acc 62.83%
Fine tuning epoch 10 (scheduling like it's 50): loss 0.0117363, train_acc 76.22%, test_acc 61.34%
Fine tuning epoch 11 (scheduling like it's 51): loss 0.0117438, train_acc 75.42%, test_acc 60.60%
Fine tuning epoch 12 (scheduling like it's 52): loss 0.0113822, train_acc 78.09%, test_acc 62.37%
Fine tuning epoch 13 (scheduling like it's 53): loss 0.0113221, train_acc 77.80%, test_acc 61.83%
Fine tuning epoch 14 (scheduling like it's 54): loss 0.0113229, train_acc 79.23%, test_acc 61.79%
Fine tuning epoch 15 (scheduling like it's 55): loss 0.0112136, train_acc 76.16%, test_acc 60.96%
Fine tuning epoch 16 (scheduling like it's 56): loss 0.0112560, train_acc 74.95%, test_acc 59.76%
Fine tuning epoch 17 (scheduling like it's 57): loss 0.0114418, train_acc 76.62%, test_acc 61.25%
Fine tuning epoch 18 (scheduling like it's 58): loss 0.0111340, train_acc 76.88%, test_acc 61.37%
Fine tuning epoch 19 (scheduling like it's 59): loss 0.0108703, train_acc 79.17%, test_acc 62.57%
