 => Using seed 2020
 => Using device: cuda
Files already downloaded and verified
Files already downloaded and verified
=> Using a preset learning rate schedule:
{0: 0.1, 80: 0.010000000000000002, 120: 0.001}
Pretraining epoch 0: loss 0.0292275, train_acc 41.71%, test_acc 43.61%
Pretraining epoch 1: loss 0.0208624, train_acc 59.52%, test_acc 59.96%
Pretraining epoch 2: loss 0.0151698, train_acc 67.22%, test_acc 66.74%
Pretraining epoch 3: loss 0.0119833, train_acc 70.22%, test_acc 69.79%
Pretraining epoch 4: loss 0.0100949, train_acc 78.61%, test_acc 77.83%
Pretraining epoch 5: loss 0.0089848, train_acc 81.01%, test_acc 79.64%
Pretraining epoch 6: loss 0.0081446, train_acc 83.16%, test_acc 81.68%
Pretraining epoch 7: loss 0.0075876, train_acc 84.63%, test_acc 82.56%
Pretraining epoch 8: loss 0.0070088, train_acc 82.82%, test_acc 80.43%
Pretraining epoch 9: loss 0.0066888, train_acc 83.15%, test_acc 79.93%
Pretraining epoch 10: loss 0.0063041, train_acc 85.79%, test_acc 83.06%
Pretraining epoch 11: loss 0.0060894, train_acc 85.97%, test_acc 83.39%
Pretraining epoch 12: loss 0.0056967, train_acc 82.11%, test_acc 78.76%
Pretraining epoch 13: loss 0.0055640, train_acc 85.93%, test_acc 83.23%
Pretraining epoch 14: loss 0.0053900, train_acc 85.19%, test_acc 82.95%
Pretraining epoch 15: loss 0.0052541, train_acc 88.06%, test_acc 85.14%
Pretraining epoch 16: loss 0.0050965, train_acc 89.26%, test_acc 86.55%
Pretraining epoch 17: loss 0.0049635, train_acc 90.29%, test_acc 87.20%
Pretraining epoch 18: loss 0.0048591, train_acc 89.09%, test_acc 85.79%
Pretraining epoch 19: loss 0.0046725, train_acc 88.79%, test_acc 86.08%
Pretraining epoch 20: loss 0.0045757, train_acc 90.96%, test_acc 87.87%
Pretraining epoch 21: loss 0.0044733, train_acc 89.61%, test_acc 85.95%
Pretraining epoch 22: loss 0.0045148, train_acc 86.68%, test_acc 82.90%
Pretraining epoch 23: loss 0.0043693, train_acc 84.92%, test_acc 82.55%
Pretraining epoch 24: loss 0.0042295, train_acc 89.49%, test_acc 86.37%
Pretraining epoch 25: loss 0.0041029, train_acc 90.19%, test_acc 86.99%
Pretraining epoch 26: loss 0.0041681, train_acc 89.73%, test_acc 86.61%
Pretraining epoch 27: loss 0.0040766, train_acc 91.20%, test_acc 87.67%
Pretraining epoch 28: loss 0.0040180, train_acc 91.83%, test_acc 88.30%
Pretraining epoch 29: loss 0.0039828, train_acc 89.94%, test_acc 86.47%
Pretraining epoch 30: loss 0.0038954, train_acc 88.06%, test_acc 84.91%
Pretraining epoch 31: loss 0.0038504, train_acc 91.76%, test_acc 88.02%
Pretraining epoch 32: loss 0.0037975, train_acc 90.66%, test_acc 86.88%
Pretraining epoch 33: loss 0.0037578, train_acc 93.21%, test_acc 89.02%
Pretraining epoch 34: loss 0.0037012, train_acc 90.01%, test_acc 85.99%
Pretraining epoch 35: loss 0.0036739, train_acc 89.10%, test_acc 84.94%
Pretraining epoch 36: loss 0.0036692, train_acc 91.76%, test_acc 87.81%
Pretraining epoch 37: loss 0.0036539, train_acc 92.36%, test_acc 88.33%
Pretraining epoch 38: loss 0.0035836, train_acc 90.93%, test_acc 86.97%
Pretraining epoch 39: loss 0.0035884, train_acc 92.11%, test_acc 87.99%
Pretraining epoch 40: loss 0.0035299, train_acc 91.99%, test_acc 87.72%
Pretraining epoch 41: loss 0.0034946, train_acc 90.01%, test_acc 85.95%
Pretraining epoch 42: loss 0.0035536, train_acc 91.24%, test_acc 87.18%
Pretraining epoch 43: loss 0.0034273, train_acc 92.65%, test_acc 88.54%
Pretraining epoch 44: loss 0.0034926, train_acc 91.38%, test_acc 87.65%
Pretraining epoch 45: loss 0.0033778, train_acc 92.46%, test_acc 87.95%
Pretraining epoch 46: loss 0.0034441, train_acc 91.77%, test_acc 87.65%
Pretraining epoch 47: loss 0.0033373, train_acc 90.36%, test_acc 86.77%
Pretraining epoch 48: loss 0.0033252, train_acc 91.95%, test_acc 87.70%
Pretraining epoch 49: loss 0.0033129, train_acc 90.83%, test_acc 86.24%
Pretraining epoch 50: loss 0.0033195, train_acc 92.81%, test_acc 88.84%
Pretraining epoch 51: loss 0.0032967, train_acc 90.72%, test_acc 86.22%
Pretraining epoch 52: loss 0.0033115, train_acc 90.43%, test_acc 86.43%
Pretraining epoch 53: loss 0.0032743, train_acc 88.66%, test_acc 84.05%
Pretraining epoch 54: loss 0.0033096, train_acc 91.15%, test_acc 86.98%
Pretraining epoch 55: loss 0.0032476, train_acc 92.90%, test_acc 88.13%
Pretraining epoch 56: loss 0.0032302, train_acc 92.91%, test_acc 88.65%
Pretraining epoch 57: loss 0.0032081, train_acc 90.07%, test_acc 86.89%
